ID_Estudiante,Alumno,Semana,Fecha Inicio,Fecha Fin,Comunicación,Matemática,Ciencia y Tecnología,Personal Social,Educación Religiosa,Educación Física,Arte,Inglés,Promedio,Clases Asistidas,Clases Totales,Asistencia (%),Progreso Académico (%),Desempeño academico
EST001,Adriana Beatriz León Vargas,1,3/31/2025,4/4/2025,19,17,19,17,16,17,17,19,17.6,5,5,100,0.00%,ninguno
EST002,Ariana Michelle León Cordero,1,3/31/2025,4/4/2025,18,19,18,20,17,18,20,17,18.4,5,5,100,0.00%,ninguno
EST003,Andrés Felipe Guerrero Soto,1,3/31/2025,4/4/2025,20,17,19,18,16,19,20,18,18.4,5,5,100,0.00%,ninguno
EST004,Camila Estefanía Salazar Vega,1,3/31/2025,4/4/2025,19,16,16,18,16,18,18,19,17.5,5,5,100,0.00%,ninguno
EST005,Carlos Andrés Herrera Medina,1,3/31/2025,4/4/2025,20,20,18,20,20,18,18,20,19.3,5,5,100,0.00%,ninguno
EST006,Carmen Rosa Méndez Fuentes,1,3/31/2025,4/4/2025,19,18,17,17,18,20,16,20,18.1,5,5,100,0.00%,ninguno
EST007,Dafne Isabel Castro Díaz,1,3/31/2025,4/4/2025,18,17,20,18,16,18,18,16,17.6,5,5,100,0.00%,ninguno
EST008,Daniela Estefanía Vásquez Ruiz,1,3/31/2025,4/4/2025,20,20,18,17,18,17,16,17,17.9,5,5,100,0.00%,ninguno
EST009,Diana Sofia Campos Díaz,1,3/31/2025,4/4/2025,18,17,18,19,17,18,17,16,17.0,5,5,100,0.00%,ninguno
EST010,Eduardo Enrique Prado Jiménez,1,3/31/2025,4/4/2025,20,18,18,17,20,20,18,17,17.0,5,5,100,0.00%,ninguno
EST011,Felipe Augusto Espinoza Torres,1,3/31/2025,4/4/2025,17,17,17,16,18,19,16,17,17.0,5,5,100,0.00%,ninguno
EST012,Gabriela Isabel Ríos Medina,1,3/31/2025,4/4/2025,17,18,17,17,16,17,17,19,17.4,5,5,100,0.00%,ninguno
EST013,Gisela Emilia Contreras Mendizábal,1,3/31/2025,4/4/2025,17,17,17,17,17,16,16,17,17.0,5,5,100,0.00%,ninguno
EST014,Hugo Francisco Mendoza Rojas,1,3/31/2025,4/4/2025,17,18,17,16,16,18,17,17,17.4,5,5,100,0.00%,ninguno
EST015,Jorge Eduardo Salazar Peña,1,3/31/2025,4/4/2025,16,17,17,20,18,16,17,18,17.4,5,5,100,0.00%,ninguno
EST016,José Antonio Díaz Romero,1,3/31/2025,4/4/2025,16,18,16,17,17,19,17,16,17.0,5,5,100,0.00%,ninguno
EST017,Juan Carlos Morales Miranda,1,3/31/2025,4/4/2025,16,16,16,17,19,17,17,17,16.9,5,5,100,0.00%,ninguno
EST018,Laura Valentina Paredes Silva,1,3/31/2025,4/4/2025,16,20,16,17,17,17,17,16,17.0,5,5,100,0.00%,ninguno
EST019,Luciana Andrea Vásquez Romero,1,3/31/2025,4/4/2025,19,17,17,17,17,18,17,17,17.4,5,5,100,0.00%,ninguno
EST020,Luis Alberto García Pérez,1,3/31/2025,4/4/2025,17,18,19,16,16,16,17,17,17.0,5,5,100,0.00%,ninguno
EST021,Magdalena Alejandra Torres Mendoza,1,3/31/2025,4/4/2025,16,19,17,16,17,17,17,17,17.0,5,5,100,0.00%,ninguno
EST022,María Fernanda Gutiérrez Rojas,1,3/31/2025,4/4/2025,17,17,16,17,17,17,18,17,17.0,5,5,100,0.00%,ninguno
EST023,Naomi Emilia Cervantes Herrera,1,3/31/2025,4/4/2025,16,18,16,16,17,17,16,17,16.6,5,5,100,0.00%,ninguno
EST024,Natalia Eugenia Chávez Herrera,1,3/31/2025,4/4/2025,16,17,19,17,17,16,17,16,16.9,5,5,100,0.00%,ninguno
EST025,Pablo Daniel Cabrera Luna,1,3/31/2025,4/4/2025,16,20,17,18,18,17,16,20,17.8,5,5,100,0.00%,ninguno
EST026,Paula Renata Gómez Silva,1,3/31/2025,4/4/2025,16,17,20,16,16,16,16,17,16.8,5,5,100,0.00%,ninguno
EST027,Renata Alejandra Olivos Díaz,1,3/31/2025,4/4/2025,16,17,19,16,18,17,20,17,17.5,5,5,100,0.00%,ninguno
EST028,Ricardo José Navarro Campos,1,3/31/2025,4/4/2025,16,16,18,17,17,17,19,20,17.5,5,5,100,0.00%,ninguno
EST029,Sofía Camila Gutiérrez Salazar,1,3/31/2025,4/4/2025,16,19,20,17,17,19,17,16,17.6,5,5,100,0.00%,ninguno
EST030,Sonia Valentina Quispe López,1,3/31/2025,4/4/2025,17,17,16,17,16,17,16,17,16.6,5,5,100,0.00%,ninguno
EST031,Valeria Alejandra Paredes Flores,1,3/31/2025,4/4/2025,17,16,16,16,17,17,16,20,16.9,5,5,100,0.00%,ninguno
EST001,Adriana Beatriz León Vargas,2,4/7/2025,4/11/2025,17,17,17,17,16,17,19,16,17.0,5,5,100,-3.41,Bajo
EST002,Ariana Michelle León Cordero,2,4/7/2025,4/11/2025,16,16,17,16,20,17,16,17,16.9,5,5,100,-8.15,Bajo
EST003,Andrés Felipe Guerrero Soto,2,4/7/2025,4/11/2025,18,18,18,16,17,19,17,20,17.9,5,5,100,-2.72,Bajo
EST004,Camila Estefanía Salazar Vega,2,4/7/2025,4/11/2025,17,16,17,16,18,17,17,17,16.9,5,5,100,-3.43,Bajo
EST005,Carlos Andrés Herrera Medina,2,4/7/2025,4/11/2025,20,16,16,17,16,16,17,18,17.0,5,5,100,-11.92,Bajo
EST006,Carmen Rosa Méndez Fuentes,2,4/7/2025,4/11/2025,16,16,20,20,17,17,17,17,17.5,5,5,100,-3.31,Bajo
EST007,Dafne Isabel Castro Díaz,2,4/7/2025,4/11/2025,17,16,18,16,17,19,17,18,17.3,5,5,100,-1.7,Bajo
EST008,Daniela Estefanía Vásquez Ruiz,2,4/7/2025,4/11/2025,17,17,16,17,17,17,20,19,17.5,5,5,100,-2.23,Bajo
EST009,Diana Sofia Campos Díaz,2,4/7/2025,4/11/2025,17,16,18,17,16,17,20,19,17.5,5,5,100,2.94,Alto
EST010,Eduardo Enrique Prado Jiménez,2,4/7/2025,4/11/2025,17,20,16,17,19,16,19,17,17.6,5,5,100,1.15,Alto
EST011,Felipe Augusto Espinoza Torres,2,4/7/2025,4/11/2025,17,17,16,17,16,16,16,16,16.4,5,5,100,-5.75,Bajo
EST012,Gabriela Isabel Ríos Medina,2,4/7/2025,4/11/2025,20,16,17,18,20,18,17,19,18.1,5,5,100,4.02,Alto
EST013,Gisela Emilia Contreras Mendizábal,2,4/7/2025,4/11/2025,17,16,17,19,17,17,18,16,17.1,5,5,100,0.59,Alto
EST014,Hugo Francisco Mendoza Rojas,2,4/7/2025,4/11/2025,17,17,16,19,17,17,20,18,17.6,5,5,100,1.15,Alto
EST015,Jorge Eduardo Salazar Peña,2,4/7/2025,4/11/2025,17,17,16,16,16,17,19,17,16.9,5,5,100,-2.87,Bajo
EST016,José Antonio Díaz Romero,2,4/7/2025,4/11/2025,17,20,17,17,17,17,17,16,17.3,5,5,100,1.76,Alto
EST017,Juan Carlos Morales Miranda,2,4/7/2025,4/11/2025,17,20,16,18,17,17,17,16,17.3,4,5,80,2.37,Alto
EST018,Laura Valentina Paredes Silva,2,4/7/2025,4/11/2025,16,17,16,17,20,17,16,17,17.0,5,5,100,0,Medio
EST019,Luciana Andrea Vásquez Romero,2,4/7/2025,4/11/2025,17,17,19,16,17,16,17,20,17.4,5,5,100,0,Medio
EST020,Luis Alberto García Pérez,2,4/7/2025,4/11/2025,16,16,20,17,17,17,17,17,17.1,5,5,100,0.59,Alto
EST021,Magdalena Alejandra Torres Mendoza,2,4/7/2025,4/11/2025,20,19,19,18,19,20,17,17,18.6,5,5,100,89.4,Alto
EST022,María Fernanda Gutiérrez Rojas,2,4/7/2025,4/11/2025,20,19,17,17,17,20,17,17,18.0,5,5,100,83.75,Alto
EST023,Naomi Emilia Cervantes Herrera,2,4/7/2025,4/11/2025,17,18,17,18,17,20,20,17,18.0,5,5,100,78.1,Alto
EST024,Natalia Eugenia Chávez Herrera,2,4/7/2025,4/11/2025,19,20,16,16,17,19,17,16,17.5,5,5,100,78.1,Alto
EST025,Pablo Daniel Cabrera Luna,2,4/7/2025,4/11/2025,19,17,17,17,17,18,17,17,17.4,5,5,100,65.6,Bajo
EST026,Paula Renata Gómez Silva,2,4/7/2025,4/11/2025,17,17,16,17,17,20,19,17,17.5,5,5,100,71.25,Alto
EST027,Renata Alejandra Olivos Díaz,2,4/7/2025,4/11/2025,17,16,18,17,17,20,20,18,17.9,5,5,100,82.5,Alto
EST028,Ricardo José Navarro Campos,2,4/7/2025,4/11/2025,17,16,17,18,17,17,16,16,16.8,5,5,100,73.1,Bajo
